"Area","Sektion","Station","year","week","day","Längdgr_std","length_group","netID","age"
"BT",1,5,1987,43,5,2,12.6,"BT.1987.5",3
"BT",1,5,1987,43,5,2,12.6,"BT.1987.5",2
"BT",1,5,1987,44,2,2,12.6,"BT.1987.5",3
"BT",1,5,1987,44,2,2,12.6,"BT.1987.5",3
"BT",1,5,1987,44,2,2,12.6,"BT.1987.5",2
"BT",1,5,1987,44,2,2,12.6,"BT.1987.5",2
"BT",1,5,1987,45,4,2,12.6,"BT.1987.5",2
"BT",1,5,1987,45,4,2,12.6,"BT.1987.5",3
"BT",1,5,1987,45,4,2,12.6,"BT.1987.5",3
"BT",1,5,1987,45,4,2,12.6,"BT.1987.5",2
"BT",1,5,1987,45,4,2,12.6,"BT.1987.5",3
"BT",1,5,1987,45,4,2,12.6,"BT.1987.5",2
"BT",1,5,1987,45,4,2,12.6,"BT.1987.5",2
"BT",1,5,1987,45,5,2,12.6,"BT.1987.5",2
"BT",1,5,1987,45,5,2,12.6,"BT.1987.5",3
"BT",1,5,1987,46,4,2,12.6,"BT.1987.5",3
"BT",1,5,1987,46,4,2,12.6,"BT.1987.5",3
"BT",1,5,1987,46,4,2,12.6,"BT.1987.5",3
"BT",1,5,1987,46,4,2,12.6,"BT.1987.5",2
"BT",1,1,1987,42,2,2,15.1,"BT.1987.1",3
"BT",1,1,1987,43,2,2,15.1,"BT.1987.1",3
"BT",1,1,1987,43,2,2,15.1,"BT.1987.1",3
"BT",1,1,1987,43,3,2,15.1,"BT.1987.1",3
"BT",1,1,1987,43,3,2,15.1,"BT.1987.1",3
"BT",1,1,1987,43,3,2,15.1,"BT.1987.1",3
"BT",1,1,1987,43,3,2,15.1,"BT.1987.1",3
"BT",1,1,1987,43,3,2,15.1,"BT.1987.1",3
"BT",1,1,1987,45,4,2,15.1,"BT.1987.1",3
"BT",1,1,1987,45,4,2,15.1,"BT.1987.1",2
"BT",1,1,1987,45,4,2,15.1,"BT.1987.1",2
"BT",1,1,1987,45,4,2,15.1,"BT.1987.1",3
"BT",1,1,1987,45,5,2,15.1,"BT.1987.1",3
"BT",1,1,1987,45,5,2,15.1,"BT.1987.1",2
"BT",1,1,1987,46,3,2,15.1,"BT.1987.1",4
"BT",1,1,1987,46,3,2,15.1,"BT.1987.1",2
"BT",1,1,1987,46,3,2,15.1,"BT.1987.1",3
"BT",1,1,1987,46,3,2,15.1,"BT.1987.1",3
"BT",1,2,1987,42,2,2,15.1,"BT.1987.2",3
"BT",1,2,1987,42,2,2,15.1,"BT.1987.2",3
"BT",1,2,1987,42,2,2,15.1,"BT.1987.2",3
"BT",1,2,1987,42,2,2,15.1,"BT.1987.2",3
"BT",1,2,1987,42,2,2,15.1,"BT.1987.2",3
"BT",1,2,1987,42,2,2,15.1,"BT.1987.2",3
"BT",1,2,1987,42,2,2,15.1,"BT.1987.2",4
"BT",1,2,1987,42,2,2,15.1,"BT.1987.2",3
"BT",1,2,1987,42,2,2,15.1,"BT.1987.2",3
"BT",1,2,1987,42,2,2,15.1,"BT.1987.2",3
"BT",1,2,1987,42,2,2,15.1,"BT.1987.2",3
"BT",1,2,1987,42,2,2,15.1,"BT.1987.2",2
"BT",1,2,1987,42,2,2,15.1,"BT.1987.2",4
"BT",1,2,1987,42,2,2,15.1,"BT.1987.2",4
"BT",1,2,1987,42,2,2,15.1,"BT.1987.2",2
"BT",1,2,1987,42,2,2,15.1,"BT.1987.2",3
"BT",1,2,1987,42,3,2,15.1,"BT.1987.2",3
"BT",1,2,1987,42,3,2,15.1,"BT.1987.2",3
"BT",1,2,1987,42,3,2,15.1,"BT.1987.2",2
"BT",1,2,1987,42,3,2,15.1,"BT.1987.2",3
"BT",1,2,1987,42,3,2,15.1,"BT.1987.2",2
"BT",1,2,1987,42,3,2,15.1,"BT.1987.2",3
"BT",1,2,1987,42,3,2,15.1,"BT.1987.2",4
"BT",1,2,1987,42,3,2,15.1,"BT.1987.2",3
"BT",1,2,1987,43,2,2,15.1,"BT.1987.2",3
"BT",1,2,1987,43,2,2,15.1,"BT.1987.2",2
"BT",1,2,1987,43,2,2,15.1,"BT.1987.2",4
"BT",1,2,1987,43,2,2,15.1,"BT.1987.2",3
"BT",1,2,1987,43,2,2,15.1,"BT.1987.2",3
"BT",1,2,1987,43,3,2,15.1,"BT.1987.2",4
"BT",1,2,1987,43,3,2,15.1,"BT.1987.2",4
"BT",1,2,1987,43,3,2,15.1,"BT.1987.2",2
"BT",1,2,1987,43,3,2,15.1,"BT.1987.2",3
"BT",1,2,1987,43,5,2,15.1,"BT.1987.2",2
"BT",1,2,1987,43,5,2,15.1,"BT.1987.2",3
"BT",1,2,1987,43,5,2,15.1,"BT.1987.2",3
"BT",1,2,1987,44,2,2,15.1,"BT.1987.2",4
"BT",1,2,1987,44,2,2,15.1,"BT.1987.2",3
"BT",1,2,1987,45,4,2,15.1,"BT.1987.2",3
"BT",1,2,1987,45,4,2,15.1,"BT.1987.2",3
"BT",1,2,1987,45,4,2,15.1,"BT.1987.2",2
"BT",1,2,1987,45,4,2,15.1,"BT.1987.2",3
"BT",1,2,1987,45,5,2,15.1,"BT.1987.2",3
"BT",1,2,1987,45,5,2,15.1,"BT.1987.2",3
"BT",1,2,1987,45,5,2,15.1,"BT.1987.2",3
"BT",1,2,1987,45,5,2,15.1,"BT.1987.2",3
"BT",1,2,1987,45,5,2,15.1,"BT.1987.2",4
"BT",1,2,1987,45,5,2,15.1,"BT.1987.2",4
"BT",1,2,1987,46,3,2,15.1,"BT.1987.2",2
"BT",1,2,1987,46,3,2,15.1,"BT.1987.2",3
"BT",1,2,1987,46,3,2,15.1,"BT.1987.2",3
"BT",1,2,1987,46,3,2,15.1,"BT.1987.2",2
"BT",1,2,1987,46,3,2,15.1,"BT.1987.2",3
"BT",1,2,1987,46,3,2,15.1,"BT.1987.2",2
"BT",1,3,1987,42,2,2,15.1,"BT.1987.3",3
"BT",1,3,1987,42,2,2,15.1,"BT.1987.3",4
"BT",1,3,1987,42,2,2,15.1,"BT.1987.3",3
"BT",1,3,1987,42,2,2,15.1,"BT.1987.3",3
"BT",1,3,1987,42,2,2,15.1,"BT.1987.3",3
"BT",1,3,1987,42,3,2,15.1,"BT.1987.3",3
"BT",1,3,1987,42,3,2,15.1,"BT.1987.3",2
"BT",1,3,1987,42,3,2,15.1,"BT.1987.3",2
"BT",1,3,1987,42,3,2,15.1,"BT.1987.3",3
"BT",1,3,1987,42,3,2,15.1,"BT.1987.3",3
"BT",1,3,1987,42,3,2,15.1,"BT.1987.3",3
"BT",1,3,1987,43,2,2,15.1,"BT.1987.3",3
"BT",1,3,1987,43,2,2,15.1,"BT.1987.3",3
"BT",1,3,1987,43,3,2,15.1,"BT.1987.3",3
"BT",1,3,1987,43,5,2,15.1,"BT.1987.3",4
"BT",1,3,1987,43,5,2,15.1,"BT.1987.3",4
"BT",1,3,1987,43,5,2,15.1,"BT.1987.3",3
"BT",1,3,1987,43,5,2,15.1,"BT.1987.3",4
"BT",1,3,1987,45,4,2,15.1,"BT.1987.3",3
"BT",1,3,1987,45,4,2,15.1,"BT.1987.3",3
"BT",1,3,1987,45,4,2,15.1,"BT.1987.3",3
"BT",1,3,1987,46,3,2,15.1,"BT.1987.3",3
"BT",1,4,1987,42,2,2,15.1,"BT.1987.4",3
"BT",1,4,1987,42,3,2,15.1,"BT.1987.4",4
"BT",1,4,1987,42,3,2,15.1,"BT.1987.4",3
"BT",1,4,1987,42,3,2,15.1,"BT.1987.4",3
"BT",1,4,1987,42,3,2,15.1,"BT.1987.4",3
"BT",1,4,1987,43,2,2,15.1,"BT.1987.4",3
"BT",1,4,1987,43,2,2,15.1,"BT.1987.4",4
"BT",1,4,1987,43,3,2,15.1,"BT.1987.4",3
"BT",1,4,1987,43,3,2,15.1,"BT.1987.4",3
"BT",1,4,1987,43,3,2,15.1,"BT.1987.4",3
"BT",1,4,1987,43,5,2,15.1,"BT.1987.4",3
"BT",1,4,1987,43,5,2,15.1,"BT.1987.4",2
"BT",1,4,1987,43,5,2,15.1,"BT.1987.4",3
"BT",1,4,1987,43,5,2,15.1,"BT.1987.4",3
"BT",1,4,1987,44,2,2,15.1,"BT.1987.4",2
"BT",1,4,1987,44,2,2,15.1,"BT.1987.4",4
"BT",1,4,1987,45,4,2,15.1,"BT.1987.4",2
"BT",1,4,1987,45,4,2,15.1,"BT.1987.4",3
"BT",1,4,1987,45,5,2,15.1,"BT.1987.4",3
"BT",1,4,1987,45,5,2,15.1,"BT.1987.4",2
"BT",1,4,1987,45,5,2,15.1,"BT.1987.4",3
"BT",1,4,1987,45,5,2,15.1,"BT.1987.4",3
"BT",1,4,1987,46,3,2,15.1,"BT.1987.4",4
"BT",1,4,1987,46,3,2,15.1,"BT.1987.4",2
"BT",1,4,1987,46,3,2,15.1,"BT.1987.4",3
"BT",1,4,1987,46,3,2,15.1,"BT.1987.4",2
"BT",1,4,1987,46,4,2,15.1,"BT.1987.4",4
"BT",1,4,1987,46,4,2,15.1,"BT.1987.4",3
"BT",1,4,1987,46,4,2,15.1,"BT.1987.4",3
"BT",1,5,1987,42,2,2,15.1,"BT.1987.5",3
"BT",1,5,1987,42,2,2,15.1,"BT.1987.5",3
"BT",1,5,1987,42,2,2,15.1,"BT.1987.5",2
"BT",1,5,1987,42,2,2,15.1,"BT.1987.5",2
"BT",1,5,1987,42,2,2,15.1,"BT.1987.5",4
"BT",1,5,1987,42,2,2,15.1,"BT.1987.5",3
"BT",1,5,1987,42,2,2,15.1,"BT.1987.5",3
