"Area","Sektion","Station","year","week","day","Längdgr_std","length_group","netID","netID2","age"
"BT",1,5,1990,47,2,2,7.6,"BT.1990.5","BT.1990.47.2.1.5",1
"BT",3,26,1996,46,5,2,10.1,"BT.1996.26","BT.1996.46.5.3.26",2
"BT",3,38,1996,47,2,2,10.1,"BT.1996.38","BT.1996.47.2.3.38",1
"BT",4,40,1996,47,2,2,10.1,"BT.1996.40","BT.1996.47.2.4.40",1
"BT",4,40,1996,47,2,2,10.1,"BT.1996.40","BT.1996.47.2.4.40",1
"BT",4,40,1996,47,2,2,10.1,"BT.1996.40","BT.1996.47.2.4.40",1
"BT",5,10,1996,46,2,2,10.1,"BT.1996.10","BT.1996.46.2.5.10",2
"BT",5,33,1996,47,2,2,10.1,"BT.1996.33","BT.1996.47.2.5.33",1
"BT",5,42,1996,47,3,2,10.1,"BT.1996.42","BT.1996.47.3.5.42",2
"BT",1,1,1989,44,2,2,10.1,"BT.1989.1","BT.1989.44.2.1.1",2
"BT",1,1,1989,44,2,2,10.1,"BT.1989.1","BT.1989.44.2.1.1",2
"BT",1,1,1989,44,4,2,10.1,"BT.1989.1","BT.1989.44.4.1.1",1
"BT",1,1,1989,44,4,2,10.1,"BT.1989.1","BT.1989.44.4.1.1",2
"BT",1,1,1989,44,4,2,10.1,"BT.1989.1","BT.1989.44.4.1.1",2
"BT",1,1,1990,46,5,2,10.1,"BT.1990.1","BT.1990.46.5.1.1",1
"BT",1,1,1992,44,3,2,10.1,"BT.1992.1","BT.1992.44.3.1.1",2
"BT",1,1,1992,45,1,2,10.1,"BT.1992.1","BT.1992.45.1.1.1",1
"BT",1,1,1992,45,1,2,10.1,"BT.1992.1","BT.1992.45.1.1.1",2
"BT",1,1,1992,45,3,2,10.1,"BT.1992.1","BT.1992.45.3.1.1",1
"BT",1,1,1993,43,3,2,10.1,"BT.1993.1","BT.1993.43.3.1.1",1
"BT",1,2,1989,43,2,2,10.1,"BT.1989.2","BT.1989.43.2.1.2",2
"BT",1,2,1989,43,2,2,10.1,"BT.1989.2","BT.1989.43.2.1.2",2
"BT",1,2,1989,43,2,2,10.1,"BT.1989.2","BT.1989.43.2.1.2",2
"BT",1,2,1989,43,2,2,10.1,"BT.1989.2","BT.1989.43.2.1.2",1
"BT",1,2,1989,43,2,2,10.1,"BT.1989.2","BT.1989.43.2.1.2",2
"BT",1,2,1989,43,4,2,10.1,"BT.1989.2","BT.1989.43.4.1.2",2
"BT",1,2,1989,43,4,2,10.1,"BT.1989.2","BT.1989.43.4.1.2",1
"BT",1,2,1989,43,4,2,10.1,"BT.1989.2","BT.1989.43.4.1.2",1
"BT",1,2,1989,43,4,2,10.1,"BT.1989.2","BT.1989.43.4.1.2",2
"BT",1,2,1989,43,4,2,10.1,"BT.1989.2","BT.1989.43.4.1.2",1
"BT",1,2,1989,44,2,2,10.1,"BT.1989.2","BT.1989.44.2.1.2",1
"BT",1,2,1989,44,2,2,10.1,"BT.1989.2","BT.1989.44.2.1.2",1
"BT",1,2,1989,44,2,2,10.1,"BT.1989.2","BT.1989.44.2.1.2",1
"BT",1,2,1989,44,2,2,10.1,"BT.1989.2","BT.1989.44.2.1.2",2
"BT",1,2,1989,44,2,2,10.1,"BT.1989.2","BT.1989.44.2.1.2",2
"BT",1,2,1989,44,2,2,10.1,"BT.1989.2","BT.1989.44.2.1.2",1
"BT",1,2,1989,44,2,2,10.1,"BT.1989.2","BT.1989.44.2.1.2",1
"BT",1,2,1989,44,2,2,10.1,"BT.1989.2","BT.1989.44.2.1.2",2
"BT",1,2,1989,44,2,2,10.1,"BT.1989.2","BT.1989.44.2.1.2",2
"BT",1,2,1989,44,2,2,10.1,"BT.1989.2","BT.1989.44.2.1.2",1
"BT",1,2,1989,44,4,2,10.1,"BT.1989.2","BT.1989.44.4.1.2",2
"BT",1,2,1989,44,4,2,10.1,"BT.1989.2","BT.1989.44.4.1.2",2
"BT",1,2,1989,44,4,2,10.1,"BT.1989.2","BT.1989.44.4.1.2",1
"BT",1,2,1989,44,4,2,10.1,"BT.1989.2","BT.1989.44.4.1.2",1
"BT",1,2,1989,44,4,2,10.1,"BT.1989.2","BT.1989.44.4.1.2",1
"BT",1,2,1989,45,2,2,10.1,"BT.1989.2","BT.1989.45.2.1.2",2
"BT",1,2,1989,45,2,2,10.1,"BT.1989.2","BT.1989.45.2.1.2",1
"BT",1,2,1989,45,2,2,10.1,"BT.1989.2","BT.1989.45.2.1.2",1
"BT",1,2,1989,45,2,2,10.1,"BT.1989.2","BT.1989.45.2.1.2",2
"BT",1,2,1989,45,2,2,10.1,"BT.1989.2","BT.1989.45.2.1.2",1
"BT",1,2,1989,45,4,2,10.1,"BT.1989.2","BT.1989.45.4.1.2",2
"BT",1,2,1990,45,5,2,10.1,"BT.1990.2","BT.1990.45.5.1.2",2
"BT",1,2,1990,45,5,2,10.1,"BT.1990.2","BT.1990.45.5.1.2",1
"BT",1,2,1990,45,5,2,10.1,"BT.1990.2","BT.1990.45.5.1.2",1
"BT",1,2,1990,45,5,2,10.1,"BT.1990.2","BT.1990.45.5.1.2",1
"BT",1,2,1990,45,5,2,10.1,"BT.1990.2","BT.1990.45.5.1.2",1
"BT",1,2,1990,46,2,2,10.1,"BT.1990.2","BT.1990.46.2.1.2",1
"BT",1,2,1990,46,5,2,10.1,"BT.1990.2","BT.1990.46.5.1.2",1
"BT",1,2,1990,46,5,2,10.1,"BT.1990.2","BT.1990.46.5.1.2",1
"BT",1,2,1990,46,5,2,10.1,"BT.1990.2","BT.1990.46.5.1.2",1
"BT",1,2,1990,46,5,2,10.1,"BT.1990.2","BT.1990.46.5.1.2",1
"BT",1,2,1990,47,2,2,10.1,"BT.1990.2","BT.1990.47.2.1.2",2
"BT",1,2,1990,47,2,2,10.1,"BT.1990.2","BT.1990.47.2.1.2",2
"BT",1,2,1990,47,2,2,10.1,"BT.1990.2","BT.1990.47.2.1.2",1
"BT",1,2,1990,47,3,2,10.1,"BT.1990.2","BT.1990.47.3.1.2",2
"BT",1,2,1990,47,3,2,10.1,"BT.1990.2","BT.1990.47.3.1.2",2
"BT",1,2,1990,47,3,2,10.1,"BT.1990.2","BT.1990.47.3.1.2",1
"BT",1,2,1991,45,2,2,10.1,"BT.1991.2","BT.1991.45.2.1.2",1
"BT",1,2,1991,45,2,2,10.1,"BT.1991.2","BT.1991.45.2.1.2",2
"BT",1,2,1991,45,2,2,10.1,"BT.1991.2","BT.1991.45.2.1.2",1
"BT",1,2,1991,45,2,2,10.1,"BT.1991.2","BT.1991.45.2.1.2",1
"BT",1,2,1991,45,2,2,10.1,"BT.1991.2","BT.1991.45.2.1.2",2
"BT",1,2,1991,45,2,2,10.1,"BT.1991.2","BT.1991.45.2.1.2",1
"BT",1,2,1991,45,2,2,10.1,"BT.1991.2","BT.1991.45.2.1.2",1
"BT",1,2,1991,45,2,2,10.1,"BT.1991.2","BT.1991.45.2.1.2",2
"BT",1,2,1991,45,3,2,10.1,"BT.1991.2","BT.1991.45.3.1.2",1
"BT",1,2,1991,45,3,2,10.1,"BT.1991.2","BT.1991.45.3.1.2",2
"BT",1,2,1991,45,3,2,10.1,"BT.1991.2","BT.1991.45.3.1.2",2
"BT",1,2,1991,45,3,2,10.1,"BT.1991.2","BT.1991.45.3.1.2",2
"BT",1,2,1991,45,3,2,10.1,"BT.1991.2","BT.1991.45.3.1.2",2
"BT",1,2,1991,45,4,2,10.1,"BT.1991.2","BT.1991.45.4.1.2",2
"BT",1,2,1991,45,4,2,10.1,"BT.1991.2","BT.1991.45.4.1.2",2
"BT",1,2,1991,45,4,2,10.1,"BT.1991.2","BT.1991.45.4.1.2",2
"BT",1,2,1991,45,4,2,10.1,"BT.1991.2","BT.1991.45.4.1.2",2
"BT",1,2,1991,45,4,2,10.1,"BT.1991.2","BT.1991.45.4.1.2",1
"BT",1,2,1991,45,4,2,10.1,"BT.1991.2","BT.1991.45.4.1.2",2
"BT",1,2,1991,45,4,2,10.1,"BT.1991.2","BT.1991.45.4.1.2",1
"BT",1,2,1991,45,4,2,10.1,"BT.1991.2","BT.1991.45.4.1.2",2
"BT",1,2,1991,45,4,2,10.1,"BT.1991.2","BT.1991.45.4.1.2",1
"BT",1,2,1991,45,5,2,10.1,"BT.1991.2","BT.1991.45.5.1.2",1
"BT",1,2,1991,46,4,2,10.1,"BT.1991.2","BT.1991.46.4.1.2",1
"BT",1,2,1991,46,4,2,10.1,"BT.1991.2","BT.1991.46.4.1.2",1
"BT",1,2,1991,46,4,2,10.1,"BT.1991.2","BT.1991.46.4.1.2",1
"BT",1,2,1991,46,4,2,10.1,"BT.1991.2","BT.1991.46.4.1.2",1
"BT",1,2,1992,44,2,2,10.1,"BT.1992.2","BT.1992.44.2.1.2",2
"BT",1,2,1992,44,2,2,10.1,"BT.1992.2","BT.1992.44.2.1.2",2
"BT",1,2,1992,44,2,2,10.1,"BT.1992.2","BT.1992.44.2.1.2",2
"BT",1,2,1992,44,2,2,10.1,"BT.1992.2","BT.1992.44.2.1.2",2
"BT",1,2,1992,44,3,2,10.1,"BT.1992.2","BT.1992.44.3.1.2",2
"BT",1,2,1992,44,3,2,10.1,"BT.1992.2","BT.1992.44.3.1.2",2
"BT",1,2,1992,44,3,2,10.1,"BT.1992.2","BT.1992.44.3.1.2",2
"BT",1,2,1992,45,1,2,10.1,"BT.1992.2","BT.1992.45.1.1.2",1
"BT",1,2,1992,45,1,2,10.1,"BT.1992.2","BT.1992.45.1.1.2",1
"BT",1,2,1992,45,3,2,10.1,"BT.1992.2","BT.1992.45.3.1.2",1
"BT",1,2,1992,45,3,2,10.1,"BT.1992.2","BT.1992.45.3.1.2",1
"BT",1,2,1992,45,3,2,10.1,"BT.1992.2","BT.1992.45.3.1.2",1
"BT",1,2,1992,45,3,2,10.1,"BT.1992.2","BT.1992.45.3.1.2",2
"BT",1,2,1993,43,4,2,10.1,"BT.1993.2","BT.1993.43.4.1.2",1
"BT",1,2,1994,44,3,2,10.1,"BT.1994.2","BT.1994.44.3.1.2",1
"BT",1,2,1994,44,3,2,10.1,"BT.1994.2","BT.1994.44.3.1.2",1
"BT",1,2,1994,44,3,2,10.1,"BT.1994.2","BT.1994.44.3.1.2",2
"BT",1,2,1994,44,3,2,10.1,"BT.1994.2","BT.1994.44.3.1.2",1
"BT",1,2,1994,44,4,2,10.1,"BT.1994.2","BT.1994.44.4.1.2",2
"BT",1,2,1994,44,4,2,10.1,"BT.1994.2","BT.1994.44.4.1.2",1
"BT",1,2,1994,44,4,2,10.1,"BT.1994.2","BT.1994.44.4.1.2",2
"BT",1,2,1994,44,4,2,10.1,"BT.1994.2","BT.1994.44.4.1.2",1
"BT",1,2,1994,44,4,2,10.1,"BT.1994.2","BT.1994.44.4.1.2",1
"BT",1,2,1994,44,5,2,10.1,"BT.1994.2","BT.1994.44.5.1.2",1
"BT",1,2,1994,44,5,2,10.1,"BT.1994.2","BT.1994.44.5.1.2",2
"BT",1,2,1994,44,5,2,10.1,"BT.1994.2","BT.1994.44.5.1.2",2
"BT",1,2,1994,44,5,2,10.1,"BT.1994.2","BT.1994.44.5.1.2",2
"BT",1,2,1994,45,1,2,10.1,"BT.1994.2","BT.1994.45.1.1.2",1
"BT",1,2,1994,45,1,2,10.1,"BT.1994.2","BT.1994.45.1.1.2",2
"BT",1,2,1994,45,2,2,10.1,"BT.1994.2","BT.1994.45.2.1.2",1
"BT",1,2,1996,44,3,2,10.1,"BT.1996.2","BT.1996.44.3.1.2",1
"BT",1,2,1998,45,3,2,10.1,"BT.1998.2","BT.1998.45.3.1.2",1
"BT",1,3,1989,43,2,2,10.1,"BT.1989.3","BT.1989.43.2.1.3",1
"BT",1,3,1989,43,2,2,10.1,"BT.1989.3","BT.1989.43.2.1.3",2
"BT",1,3,1989,43,2,2,10.1,"BT.1989.3","BT.1989.43.2.1.3",2
"BT",1,3,1989,43,2,2,10.1,"BT.1989.3","BT.1989.43.2.1.3",2
"BT",1,3,1989,43,2,2,10.1,"BT.1989.3","BT.1989.43.2.1.3",1
"BT",1,3,1989,44,2,2,10.1,"BT.1989.3","BT.1989.44.2.1.3",2
"BT",1,3,1989,44,2,2,10.1,"BT.1989.3","BT.1989.44.2.1.3",2
"BT",1,3,1989,44,2,2,10.1,"BT.1989.3","BT.1989.44.2.1.3",1
"BT",1,3,1991,45,3,2,10.1,"BT.1991.3","BT.1991.45.3.1.3",2
"BT",1,3,1991,45,5,2,10.1,"BT.1991.3","BT.1991.45.5.1.3",2
"BT",1,3,1991,46,4,2,10.1,"BT.1991.3","BT.1991.46.4.1.3",1
"BT",1,3,1992,44,3,2,10.1,"BT.1992.3","BT.1992.44.3.1.3",1
"BT",1,3,1992,44,3,2,10.1,"BT.1992.3","BT.1992.44.3.1.3",2
"BT",1,3,1992,44,3,2,10.1,"BT.1992.3","BT.1992.44.3.1.3",2
"BT",1,3,1992,45,1,2,10.1,"BT.1992.3","BT.1992.45.1.1.3",1
"BT",1,3,1992,45,1,2,10.1,"BT.1992.3","BT.1992.45.1.1.3",2
"BT",1,3,1992,45,3,2,10.1,"BT.1992.3","BT.1992.45.3.1.3",2
"BT",1,3,1994,44,4,2,10.1,"BT.1994.3","BT.1994.44.4.1.3",2
"BT",1,3,1994,44,4,2,10.1,"BT.1994.3","BT.1994.44.4.1.3",1
"BT",1,3,1994,45,1,2,10.1,"BT.1994.3","BT.1994.45.1.1.3",1
"BT",1,3,1994,45,1,2,10.1,"BT.1994.3","BT.1994.45.1.1.3",2
"BT",1,3,1994,45,1,2,10.1,"BT.1994.3","BT.1994.45.1.1.3",1
"BT",1,3,1996,44,2,2,10.1,"BT.1996.3","BT.1996.44.2.1.3",1
"BT",1,3,1996,44,2,2,10.1,"BT.1996.3","BT.1996.44.2.1.3",1
"BT",1,3,1996,44,3,2,10.1,"BT.1996.3","BT.1996.44.3.1.3",2
"BT",1,3,1996,44,5,2,10.1,"BT.1996.3","BT.1996.44.5.1.3",1
"BT",1,4,1989,43,2,2,10.1,"BT.1989.4","BT.1989.43.2.1.4",2
"BT",1,4,1989,43,2,2,10.1,"BT.1989.4","BT.1989.43.2.1.4",1
"BT",1,4,1989,43,2,2,10.1,"BT.1989.4","BT.1989.43.2.1.4",1
"BT",1,4,1989,44,2,2,10.1,"BT.1989.4","BT.1989.44.2.1.4",2
"BT",1,4,1989,44,2,2,10.1,"BT.1989.4","BT.1989.44.2.1.4",2
"BT",1,4,1989,44,2,2,10.1,"BT.1989.4","BT.1989.44.2.1.4",1
"BT",1,4,1989,44,2,2,10.1,"BT.1989.4","BT.1989.44.2.1.4",1
"BT",1,4,1989,44,2,2,10.1,"BT.1989.4","BT.1989.44.2.1.4",2
"BT",1,4,1989,44,2,2,10.1,"BT.1989.4","BT.1989.44.2.1.4",1
"BT",1,4,1990,45,5,2,10.1,"BT.1990.4","BT.1990.45.5.1.4",1
"BT",1,4,1990,45,5,2,10.1,"BT.1990.4","BT.1990.45.5.1.4",1
"BT",1,4,1990,47,2,2,10.1,"BT.1990.4","BT.1990.47.2.1.4",1
"BT",1,4,1991,45,2,2,10.1,"BT.1991.4","BT.1991.45.2.1.4",2
"BT",1,4,1991,45,2,2,10.1,"BT.1991.4","BT.1991.45.2.1.4",2
"BT",1,4,1992,44,2,2,10.1,"BT.1992.4","BT.1992.44.2.1.4",2
"BT",1,4,1992,44,2,2,10.1,"BT.1992.4","BT.1992.44.2.1.4",2
"BT",1,4,1992,44,3,2,10.1,"BT.1992.4","BT.1992.44.3.1.4",2
"BT",1,4,1992,44,3,2,10.1,"BT.1992.4","BT.1992.44.3.1.4",2
"BT",1,4,1992,45,3,2,10.1,"BT.1992.4","BT.1992.45.3.1.4",2
"BT",1,5,1989,43,4,2,10.1,"BT.1989.5","BT.1989.43.4.1.5",1
"BT",1,5,1989,44,2,2,10.1,"BT.1989.5","BT.1989.44.2.1.5",2
"BT",1,5,1990,46,2,2,10.1,"BT.1990.5","BT.1990.46.2.1.5",1
"BT",1,5,1990,46,2,2,10.1,"BT.1990.5","BT.1990.46.2.1.5",1
"BT",1,5,1990,46,5,2,10.1,"BT.1990.5","BT.1990.46.5.1.5",1
"BT",1,5,1991,45,4,2,10.1,"BT.1991.5","BT.1991.45.4.1.5",2
"BT",1,5,1991,45,5,2,10.1,"BT.1991.5","BT.1991.45.5.1.5",2
"BT",1,5,1991,46,4,2,10.1,"BT.1991.5","BT.1991.46.4.1.5",2
"BT",1,5,1992,44,2,2,10.1,"BT.1992.5","BT.1992.44.2.1.5",2
"BT",1,5,1992,44,2,2,10.1,"BT.1992.5","BT.1992.44.2.1.5",2
"BT",1,5,1992,44,3,2,10.1,"BT.1992.5","BT.1992.44.3.1.5",2
"BT",1,5,1992,44,3,2,10.1,"BT.1992.5","BT.1992.44.3.1.5",1
"BT",1,5,1992,45,1,2,10.1,"BT.1992.5","BT.1992.45.1.1.5",1
"BT",1,5,1992,45,1,2,10.1,"BT.1992.5","BT.1992.45.1.1.5",2
"BT",1,5,1993,44,4,2,10.1,"BT.1993.5","BT.1993.44.4.1.5",2
"BT",1,5,1996,44,2,2,10.1,"BT.1996.5","BT.1996.44.2.1.5",2
"BT",2,13,1996,46,2,2,12.6,"BT.1996.13","BT.1996.46.2.2.13",2
"BT",2,13,1996,46,2,2,12.6,"BT.1996.13","BT.1996.46.2.2.13",2
"BT",2,13,1996,46,2,2,12.6,"BT.1996.13","BT.1996.46.2.2.13",2
"BT",2,13,1996,46,2,2,12.6,"BT.1996.13","BT.1996.46.2.2.13",3
"BT",2,13,1996,46,2,2,12.6,"BT.1996.13","BT.1996.46.2.2.13",2
"BT",2,13,1996,46,2,2,12.6,"BT.1996.13","BT.1996.46.2.2.13",3
"BT",2,13,1996,46,2,2,12.6,"BT.1996.13","BT.1996.46.2.2.13",2
"BT",2,13,1996,46,2,2,12.6,"BT.1996.13","BT.1996.46.2.2.13",3
"BT",2,13,1996,46,2,2,12.6,"BT.1996.13","BT.1996.46.2.2.13",2
"BT",2,14,1996,46,2,2,12.6,"BT.1996.14","BT.1996.46.2.2.14",2
"BT",2,14,1996,46,2,2,12.6,"BT.1996.14","BT.1996.46.2.2.14",2
"BT",2,14,1996,46,2,2,12.6,"BT.1996.14","BT.1996.46.2.2.14",1
"BT",2,14,1996,46,2,2,12.6,"BT.1996.14","BT.1996.46.2.2.14",2
"BT",2,22,1996,46,5,2,12.6,"BT.1996.22","BT.1996.46.5.2.22",2
"BT",2,22,1996,46,5,2,12.6,"BT.1996.22","BT.1996.46.5.2.22",2
"BT",2,22,1996,46,5,2,12.6,"BT.1996.22","BT.1996.46.5.2.22",4
"BT",2,23,1996,46,5,2,12.6,"BT.1996.23","BT.1996.46.5.2.23",2
"BT",2,23,1996,46,5,2,12.6,"BT.1996.23","BT.1996.46.5.2.23",2
"BT",2,23,1996,46,5,2,12.6,"BT.1996.23","BT.1996.46.5.2.23",2
"BT",2,23,1996,46,5,2,12.6,"BT.1996.23","BT.1996.46.5.2.23",2
"BT",2,23,1996,46,5,2,12.6,"BT.1996.23","BT.1996.46.5.2.23",1
"BT",2,24,1996,46,5,2,12.6,"BT.1996.24","BT.1996.46.5.2.24",2
"BT",2,25,1996,46,5,2,12.6,"BT.1996.25","BT.1996.46.5.2.25",2
"BT",2,25,1996,46,5,2,12.6,"BT.1996.25","BT.1996.46.5.2.25",2
"BT",2,34,1996,47,2,2,12.6,"BT.1996.34","BT.1996.47.2.2.34",2
"BT",2,35,1996,47,2,2,12.6,"BT.1996.35","BT.1996.47.2.2.35",2
"BT",2,35,1996,47,2,2,12.6,"BT.1996.35","BT.1996.47.2.2.35",2
"BT",2,35,1996,47,2,2,12.6,"BT.1996.35","BT.1996.47.2.2.35",2
"BT",2,35,1996,47,2,2,12.6,"BT.1996.35","BT.1996.47.2.2.35",2
"BT",2,36,1996,47,2,2,12.6,"BT.1996.36","BT.1996.47.2.2.36",2
"BT",2,37,1996,47,2,2,12.6,"BT.1996.37","BT.1996.47.2.2.37",2
"BT",2,37,1996,47,2,2,12.6,"BT.1996.37","BT.1996.47.2.2.37",2
"BT",2,45,1996,47,3,2,12.6,"BT.1996.45","BT.1996.47.3.2.45",2
"BT",2,45,1996,47,3,2,12.6,"BT.1996.45","BT.1996.47.3.2.45",2
"BT",2,45,1996,47,3,2,12.6,"BT.1996.45","BT.1996.47.3.2.45",2
"BT",2,46,1996,47,3,2,12.6,"BT.1996.46","BT.1996.47.3.2.46",2
"BT",2,46,1996,47,3,2,12.6,"BT.1996.46","BT.1996.47.3.2.46",1
"BT",2,46,1996,47,3,2,12.6,"BT.1996.46","BT.1996.47.3.2.46",2
"BT",2,46,1996,47,3,2,12.6,"BT.1996.46","BT.1996.47.3.2.46",2
"BT",2,46,1996,47,3,2,12.6,"BT.1996.46","BT.1996.47.3.2.46",2
"BT",2,47,1996,47,3,2,12.6,"BT.1996.47","BT.1996.47.3.2.47",2
"BT",3,5,1996,46,5,2,12.6,"BT.1996.5","BT.1996.46.5.3.5",2
"BT",3,5,1996,46,5,2,12.6,"BT.1996.5","BT.1996.46.5.3.5",2
"BT",3,15,1996,46,2,2,12.6,"BT.1996.15","BT.1996.46.2.3.15",4
"BT",3,15,1996,46,2,2,12.6,"BT.1996.15","BT.1996.46.2.3.15",2
"BT",3,15,1996,46,2,2,12.6,"BT.1996.15","BT.1996.46.2.3.15",2
"BT",3,15,1996,46,2,2,12.6,"BT.1996.15","BT.1996.46.2.3.15",2
"BT",3,15,1996,46,2,2,12.6,"BT.1996.15","BT.1996.46.2.3.15",2
"BT",3,16,1996,46,2,2,12.6,"BT.1996.16","BT.1996.46.2.3.16",2
"BT",3,16,1996,46,2,2,12.6,"BT.1996.16","BT.1996.46.2.3.16",2
"BT",3,16,1996,46,2,2,12.6,"BT.1996.16","BT.1996.46.2.3.16",2
"BT",3,16,1996,46,2,2,12.6,"BT.1996.16","BT.1996.46.2.3.16",3
"BT",3,26,1996,46,5,2,12.6,"BT.1996.26","BT.1996.46.5.3.26",2
"BT",3,26,1996,46,5,2,12.6,"BT.1996.26","BT.1996.46.5.3.26",2
"BT",3,26,1996,46,5,2,12.6,"BT.1996.26","BT.1996.46.5.3.26",2
"BT",3,38,1996,47,2,2,12.6,"BT.1996.38","BT.1996.47.2.3.38",2
"BT",3,38,1996,47,2,2,12.6,"BT.1996.38","BT.1996.47.2.3.38",2
"BT",3,38,1996,47,2,2,12.6,"BT.1996.38","BT.1996.47.2.3.38",2
"BT",3,39,1996,47,2,2,12.6,"BT.1996.39","BT.1996.47.2.3.39",2
"BT",3,48,1996,47,3,2,12.6,"BT.1996.48","BT.1996.47.3.3.48",2
"BT",4,3,1996,46,2,2,12.6,"BT.1996.3","BT.1996.46.2.4.3",2
"BT",4,27,1996,46,5,2,12.6,"BT.1996.27","BT.1996.46.5.4.27",2
"BT",4,29,1996,46,5,2,12.6,"BT.1996.29","BT.1996.46.5.4.29",2
"BT",4,40,1996,47,2,2,12.6,"BT.1996.40","BT.1996.47.2.4.40",2
"BT",4,40,1996,47,2,2,12.6,"BT.1996.40","BT.1996.47.2.4.40",2
"BT",4,40,1996,47,2,2,12.6,"BT.1996.40","BT.1996.47.2.4.40",2
"BT",4,40,1996,47,2,2,12.6,"BT.1996.40","BT.1996.47.2.4.40",2
"BT",4,40,1996,47,2,2,12.6,"BT.1996.40","BT.1996.47.2.4.40",2
"BT",4,40,1996,47,2,2,12.6,"BT.1996.40","BT.1996.47.2.4.40",2
"BT",4,40,1996,47,2,2,12.6,"BT.1996.40","BT.1996.47.2.4.40",2
"BT",4,40,1996,47,2,2,12.6,"BT.1996.40","BT.1996.47.2.4.40",1
"BT",4,40,1996,47,2,2,12.6,"BT.1996.40","BT.1996.47.2.4.40",2
"BT",4,40,1996,47,2,2,12.6,"BT.1996.40","BT.1996.47.2.4.40",2
"BT",4,40,1996,47,2,2,12.6,"BT.1996.40","BT.1996.47.2.4.40",2
"BT",4,50,1996,47,3,2,12.6,"BT.1996.50","BT.1996.47.3.4.50",2
"BT",4,50,1996,47,3,2,12.6,"BT.1996.50","BT.1996.47.3.4.50",2
"BT",5,1,1996,47,2,2,12.6,"BT.1996.1","BT.1996.47.2.5.1",2
"BT",5,6,1996,46,2,2,12.6,"BT.1996.6","BT.1996.46.2.5.6",2
"BT",5,6,1996,46,2,2,12.6,"BT.1996.6","BT.1996.46.2.5.6",1
"BT",5,6,1996,46,2,2,12.6,"BT.1996.6","BT.1996.46.2.5.6",2
"BT",5,6,1996,46,2,2,12.6,"BT.1996.6","BT.1996.46.2.5.6",2
"BT",5,6,1996,46,2,2,12.6,"BT.1996.6","BT.1996.46.2.5.6",2
"BT",5,7,1996,46,2,2,12.6,"BT.1996.7","BT.1996.46.2.5.7",2
"BT",5,7,1996,46,2,2,12.6,"BT.1996.7","BT.1996.46.2.5.7",2
"BT",5,7,1996,46,2,2,12.6,"BT.1996.7","BT.1996.46.2.5.7",2
"BT",5,7,1996,46,2,2,12.6,"BT.1996.7","BT.1996.46.2.5.7",2
"BT",5,8,1996,46,2,2,12.6,"BT.1996.8","BT.1996.46.2.5.8",2
"BT",5,8,1996,46,2,2,12.6,"BT.1996.8","BT.1996.46.2.5.8",2
"BT",5,8,1996,46,2,2,12.6,"BT.1996.8","BT.1996.46.2.5.8",1
"BT",5,8,1996,46,2,2,12.6,"BT.1996.8","BT.1996.46.2.5.8",2
"BT",5,9,1996,46,2,2,12.6,"BT.1996.9","BT.1996.46.2.5.9",2
"BT",5,10,1996,46,2,2,12.6,"BT.1996.10","BT.1996.46.2.5.10",2
"BT",5,10,1996,46,2,2,12.6,"BT.1996.10","BT.1996.46.2.5.10",3
"BT",5,10,1996,46,2,2,12.6,"BT.1996.10","BT.1996.46.2.5.10",2
"BT",5,10,1996,46,2,2,12.6,"BT.1996.10","BT.1996.46.2.5.10",2
"BT",5,10,1996,46,2,2,12.6,"BT.1996.10","BT.1996.46.2.5.10",2
"BT",5,10,1996,46,2,2,12.6,"BT.1996.10","BT.1996.46.2.5.10",3
"BT",5,10,1996,46,2,2,12.6,"BT.1996.10","BT.1996.46.2.5.10",2
"BT",5,10,1996,46,2,2,12.6,"BT.1996.10","BT.1996.46.2.5.10",2
"BT",5,10,1996,46,2,2,12.6,"BT.1996.10","BT.1996.46.2.5.10",2
"BT",5,10,1996,46,2,2,12.6,"BT.1996.10","BT.1996.46.2.5.10",2
"BT",5,17,1996,46,5,2,12.6,"BT.1996.17","BT.1996.46.5.5.17",2
"BT",5,17,1996,46,5,2,12.6,"BT.1996.17","BT.1996.46.5.5.17",2
"BT",5,17,1996,46,5,2,12.6,"BT.1996.17","BT.1996.46.5.5.17",2
"BT",5,17,1996,46,5,2,12.6,"BT.1996.17","BT.1996.46.5.5.17",2
"BT",5,17,1996,46,5,2,12.6,"BT.1996.17","BT.1996.46.5.5.17",2
"BT",5,17,1996,46,5,2,12.6,"BT.1996.17","BT.1996.46.5.5.17",3
"BT",5,18,1996,46,5,2,12.6,"BT.1996.18","BT.1996.46.5.5.18",3
"BT",5,18,1996,46,5,2,12.6,"BT.1996.18","BT.1996.46.5.5.18",3
"BT",5,18,1996,46,5,2,12.6,"BT.1996.18","BT.1996.46.5.5.18",2
"BT",5,18,1996,46,5,2,12.6,"BT.1996.18","BT.1996.46.5.5.18",2
"BT",5,19,1996,46,5,2,12.6,"BT.1996.19","BT.1996.46.5.5.19",2
"BT",5,19,1996,46,5,2,12.6,"BT.1996.19","BT.1996.46.5.5.19",2
"BT",5,19,1996,46,5,2,12.6,"BT.1996.19","BT.1996.46.5.5.19",2
"BT",5,19,1996,46,5,2,12.6,"BT.1996.19","BT.1996.46.5.5.19",2
"BT",5,19,1996,46,5,2,12.6,"BT.1996.19","BT.1996.46.5.5.19",2
